EGFR	FGFR1	TGFBR1	CD274	PIK3CD	KRAS	SMAD4	PIK3CB	RAF1	CDKN1A	MAP2K1	NFKB1	AKT1	PTEN	MAPK1	E2F1	JUN	CCND1	RB1	BCL2L1	MAPK8	MTOR	BAX	BECN1	MDM2	TP53	CCNE1	CUX1
3018.39	387.53	2214.64	174.93	31.45	3208.64	183.78	3209.91	6077.17	14839.38	3543.78	4750.16	10228.31	3038.9	2825.17	621.17	18708.57	8569.62	2223.64	16490.61	1573.1	1910.29	2605.62	4297.99	748.91	122.22	826.82	5071.06
2663.85	561.4	1435.69	18.92	523.33	1414.8	5.81	3100.68	5891.47	11185.41	3617.3	3111.94	12308.15	2913.21	4738.91	1788.99	21191.81	21662.46	3775.08	14159.72	766.57	3034.8	2760.6	2752.51	935.3	607.54	271.52	13203.98
641.15	430.92	1876.84	53.72	25.13	3317.85	238.54	1472.9	3007.14	16945.11	2255.84	2769.43	10349.94	2949.88	3020.57	312.05	6774.52	4813.09	1536.09	6973.79	1205.35	1466.55	3994.22	3682.39	580.98	764.37	147.29	4939.53
1710.63	809.25	2723.12	208.67	467.22	2956.96	7.35	2263.06	5670.43	10101.8	5056.31	3887.55	11284.49	2663.95	5492.66	1426.37	14489.52	48616.15	2382.37	16833.13	1107.36	1704.27	3105.32	3220.89	2749.93	2795.69	847.24	8554.42
588.76	430.51	2254.6	190.91	1406.76	3592.13	726.48	1392.11	2837.26	3973.55	2509.12	3349.16	2182.96	3034.42	5512.66	372.07	6457.7	2955.2	3203.94	4135.74	931.24	2192.67	1782.09	2265.65	879.99	804.43	224.86	4675.28
898	1362.75	3711.03	105.36	161.08	2443.53	1656.5	1111.83	3336.36	5591.94	2646.53	1415.92	3105.58	5296.08	1582.31	369.58	5780.42	3710.05	1280.74	9159.65	1273.18	842.86	3489.37	1150.68	1950.01	568.25	237.33	3236.46
1322.2	4170.9	3308.72	32.62	821.97	2079.85	2118.13	1383.75	2043.31	15042.65	1675.04	2115.4	4005.29	3464.29	2830.92	692.8	10537.66	7614.59	2288.87	12900.56	781.43	1699.9	5971.68	1503.44	1894.64	2052.54	156.7	5955.43
2954.62	403.32	1354.24	51.05	18.92	4889.8	17.38	2173.14	3178.29	6287.4	3450.76	5670.64	7025.15	3010.11	6317.7	1058.74	5192.7	12512.19	4631.2	6596.99	657.47	2005.85	2651.95	4212.42	445.17	2926.91	436.08	7543.37
944.91	443.3	1345.02	64.04	28.04	2113.1	507.29	2075.82	3262.53	11896.43	2104.65	2203.56	7630.04	3028.54	2526.76	593.1	14750	5326.32	1651.42	10192.91	971.49	1702.24	2767.87	2311.33	1103.01	2800.85	181.62	3872.26
249.8	441.59	1965.33	37.94	2181.31	1707.61	1814.62	866.14	4228.43	12166.94	2056.07	1565.63	8701.31	3063.02	2733.65	614.41	8830.46	4493.47	672.17	7079.36	1341.75	1187.9	6726.78	1766.8	2683.98	2659.09	226.34	6243.68
648.51	446.81	2313.59	391.69	22.79	3223.13	855.99	1556.33	2880.97	13528.38	2621.84	4173.53	8410.95	3042.52	2599.77	247.14	25148.48	12488.34	2409.16	8466.73	747.6	1688.67	4656.87	2679.58	609.85	511.87	197.9	10443.99
4066.3	460.95	1449.46	97.06	22.16	5307.77	11.05	2780.49	4639.62	11389.66	2598.75	4189.14	7654.11	2518.47	6353.24	527.1	5390.76	39489.98	1988.87	13489.1	748.65	2821.88	3687.69	2851.79	2063.08	394.55	438.39	6826.29
4798.71	285.37	5875.12	20.46	19.98	4094.04	1140.79	3881.78	4746.63	3343.72	1954.81	4469.71	8007.34	2737.52	5269.33	716.24	22788	7836.6	2984.69	8913.03	1623.01	1727.74	1583.46	3304.96	2870.96	33.44	335.07	5139.96
1215.82	438.71	16683.99	19.62	29.02	5083.13	30.49	1520.4	4062.94	6940.15	2855.86	1824.34	10480.72	3014.21	3662.23	261.11	5560.7	15130.75	1026.04	2474.66	1280.28	2587.72	2406.47	1749.03	4578.7	2612.46	236.41	4333.64
3089.57	571.73	3031.85	81.13	309.07	4495.12	233.16	2451.34	4082.27	10902.49	1896.14	2843.79	4199.92	2203.66	4634.99	463.46	3939.34	33664.36	3911.99	15975.2	689.23	2798.3	6337.33	3154.92	1655.37	2461	74.96	10719.91
2971.22	531	4231.27	527.97	855.09	3472.13	1487.99	2759.23	4467.77	7943.3	3900.58	3745.34	8312.24	3384.8	7233.76	1431.27	8990.53	19531.61	1088.29	16143.16	1002.78	2899.79	2694.55	2713.3	3583.39	3113.52	1745.74	9577.43
806.72	448.38	3274.04	61.69	25.1	2668.96	1173.3	1877.2	6197.39	9803.67	2852.56	2979.66	8471.71	2716.14	2620.99	601.21	6477.53	13965.28	173.71	9962.76	1144.97	1608.9	4670.98	2705.69	2284.65	2205.43	189.35	10066.97
7634.04	481.92	15689.33	116.04	1039.65	2736.64	2372.94	3109.3	5999.78	5429.71	2945.58	2265.37	9524.34	2857.77	7464.09	713.64	5428.62	36123.92	1707.42	13908.66	2228.09	2288.6	3413.74	3041.3	1316.53	3917.82	575.12	11339.18
4263.23	592.55	4279.92	202.84	254.28	2586.51	1260.59	2287.67	4280.21	10988.07	3780.18	2880.89	9150.88	1903.9	4528.12	1040.82	12932.14	33573.41	2433.41	19646.56	543.84	1728.52	3652.85	2849.61	1177.67	3871.05	505.53	10418.65
2807.54	410.66	1909.49	60.84	24.29	2455.04	1994.67	3279.32	3090.69	3641.18	2759.86	3493.37	3323.71	3125.14	5097.81	177.42	2251.72	4720.38	3876.48	4972.98	904.58	1029.64	2132.66	2151.11	1667.51	1041.99	121.06	6192.84
2019.01	400.97	619.85	37.17	597.54	2042.34	3.84	2297.33	5130.83	3824.96	2427.83	3067.45	8932.55	3261.51	2470.97	871.63	8320.55	12327.12	1032.29	15137.68	929.25	2591.84	4120.94	1890.93	376.01	1958.57	306.74	7212.81
